,Feature Label,Feature Importance
8,column_6376,0.24576791442966336
0,column_3252,0.20344543739350446
4,column_4847,0.15573582936662514
9,column_6855,0.152892669740125
6,column_6041,0.08001307375741895
2,column_4373,0.05453497399308519
1,column_4328,0.042566693268313846
5,column_5171,0.030838956376639946
3,column_4377,0.01974735474982318
7,column_6218,0.014457096924800895
