,Feature Label,Feature Importance
6,F3656,0.18027483643474343
2,F557,0.17700091000647933
7,F3975,0.1206193212063336
9,F4876,0.09262796856041368
0,F338,0.07947493027920761
5,F3002,0.0792434999554032
3,F904,0.07314668670919333
4,F1588,0.06957303750491108
1,F511,0.06921442615586139
8,F4507,0.0588243831874534
