,Feature Label,Feature Importance
6,att_339,0.1424727000804386
1,att_49,0.1361566820340402
5,att_242,0.12169348250252564
3,att_106,0.12158660427586707
7,att_443,0.10569487759108817
0,att_29,0.0978543846568464
4,att_154,0.08076230565571652
8,att_454,0.0801942705310863
2,att_65,0.06953239442514243
9,att_456,0.04405229824724873
