selected_features_bin,experiment_name,pob_accuracy_avg,pob_ngenes_avg,count
AB000896_at,"leukemia_base_0001_25, leukemia_base_0002_14, leukemia_base_0002_15, leukemia_base_0013_0, leukemia_base_0012_19","[1.0, 1.0, 1.0, 0.971, 1.0]","[676.0, 700.0, 654.0, 34.0, 67.0]",5
AB000897_at,"leukemia_base_0001_1, leukemia_base_0001_9, leukemia_base_0001_18, leukemia_base_0002_6, leukemia_base_0002_10, leukemia_base_0002_11, leukemia_base_0002_16, leukemia_base_0002_26, leukemia_base_0002_29, leukemia_base_0009_22","[1.0, 0.968, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.984]","[700.0, 650.0, 690.0, 671.0, 657.0, 707.0, 650.0, 711.0, 707.0, 64.0]",10
AB000905_at,"leukemia_base_0001_1, leukemia_base_0001_7, leukemia_base_0001_16, leukemia_base_0001_17, leukemia_base_0002_5, leukemia_base_0002_8, leukemia_base_0002_11, leukemia_base_0002_13, leukemia_base_0002_21, leukemia_base_0003_2, leukemia_base_0012_21","[1.0, 1.0, 0.971, 1.0, 1.0, 1.0, 1.0, 1.0, 0.969, 1.0, 1.0]","[700.0, 692.0, 659.0, 722.0, 637.0, 694.0, 707.0, 696.0, 679.0, 657.0, 61.0]",11
AB001106_at,"leukemia_base_0001_6, leukemia_base_0001_11, leukemia_base_0001_25, leukemia_base_0002_12, leukemia_base_0002_16, leukemia_base_0002_18, leukemia_base_0002_23, leukemia_base_0003_0","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.997]","[677.0, 661.0, 676.0, 693.0, 650.0, 730.0, 726.0, 634.0]",8
AB001325_at,"leukemia_base_0001_2, leukemia_base_0001_3, leukemia_base_0001_5, leukemia_base_0001_8, leukemia_base_0002_12, leukemia_base_0002_20, leukemia_base_0002_25, leukemia_base_0002_29, leukemia_base_0008_8","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.891]","[674.0, 733.0, 688.0, 715.0, 693.0, 647.0, 716.0, 707.0, 57.0]",9
AB002314_at,"leukemia_base_0001_21, leukemia_base_0001_27, leukemia_base_0002_28, leukemia_base_0003_2, leukemia_base_0012_27","[1.0, 1.0, 1.0, 1.0, 1.0]","[704.0, 734.0, 688.0, 657.0, 57.0]",5
AB002315_at,"leukemia_base_0001_6, leukemia_base_0001_27, leukemia_base_0001_28, leukemia_base_0002_2, leukemia_base_0002_4, leukemia_base_0002_8, leukemia_base_0002_10, leukemia_base_0002_21, leukemia_base_0012_12","[1.0, 1.0, 0.971, 1.0, 1.0, 1.0, 1.0, 0.969, 1.0]","[677.0, 734.0, 669.0, 683.0, 669.0, 694.0, 657.0, 679.0, 80.0]",9
AB002318_at,"leukemia_base_0001_17, leukemia_base_0001_19, leukemia_base_0001_29, leukemia_base_0002_7, leukemia_base_0002_9, leukemia_base_0002_20, leukemia_base_0002_29, leukemia_base_0008_9","[1.0, 1.0, 1.0, 1.0, 0.999, 1.0, 1.0, 0.859]","[722.0, 676.0, 665.0, 682.0, 636.0, 647.0, 707.0, 61.0]",8
AB002332_at,"leukemia_base_0001_2, leukemia_base_0001_26, leukemia_base_0002_11","[1.0, 1.0, 1.0]","[674.0, 644.0, 707.0]",3
AB002356_s_at,"leukemia_base_0001_8, leukemia_base_0001_19, leukemia_base_0002_21","[1.0, 1.0, 0.969]","[715.0, 676.0, 679.0]",3
AB002365_at,"leukemia_base_0001_5, leukemia_base_0001_11, leukemia_base_0001_15, leukemia_base_0001_27, leukemia_base_0001_28, leukemia_base_0002_11, leukemia_base_0002_18, leukemia_base_0003_2, leukemia_base_0008_1, leukemia_base_0008_20, leukemia_base_0008_26","[1.0, 1.0, 1.0, 1.0, 0.971, 1.0, 1.0, 1.0, 0.922, 0.891, 0.906]","[688.0, 661.0, 720.0, 734.0, 669.0, 707.0, 730.0, 657.0, 70.0, 70.0, 51.0]",11
AB002366_at,"leukemia_base_0001_3, leukemia_base_0002_20, leukemia_base_0002_22, leukemia_base_0012_16","[1.0, 1.0, 1.0, 1.0]","[733.0, 647.0, 676.0, 56.2]",4
