selected_features_bin,experiment_name,pob_accuracy_avg,pob_ngenes_avg,count
att_131,"mandelon_base_0017_3, mandelon_base_0017_4, mandelon_base_0023_7, mandelon_base_0023_16","[0.753, 0.762, 0.79, 0.697]","[35.0, 29.0, 33.0, 45.0]",4
att_132,"mandelon_base_0017_8, mandelon_base_0023_19, mandelon_base_0023_24, mandelon_base_0023_28","[0.78, 0.745, 0.765, 0.748]","[24.0, 41.0, 41.0, 36.0]",4
att_133,mandelon_base_0017_9,[0.71],[38.0],1
att_134,"mandelon_base_0017_2, mandelon_base_0023_5","[0.73, 0.785]","[44.0, 29.0]",2
att_135,"mandelon_base_0017_0, mandelon_base_0017_2, mandelon_base_0023_8","[0.685, 0.73, 0.763]","[31.0, 44.0, 36.0]",3
att_136,"mandelon_base_0017_9, mandelon_base_0023_17","[0.71, 0.785]","[38.0, 36.0]",2
att_138,"mandelon_base_0017_2, mandelon_base_0017_10, mandelon_base_0023_7, mandelon_base_0023_11, mandelon_base_0023_12, mandelon_base_0023_14","[0.73, 0.785, 0.79, 0.758, 0.812, 0.788]","[44.0, 29.0, 33.0, 44.0, 31.0, 36.0]",6
att_139,"mandelon_base_0017_14, mandelon_base_0023_12, mandelon_base_0023_25","[0.763, 0.812, 0.76]","[36.0, 31.0, 36.0]",3
att_14,"mandelon_base_0017_3, mandelon_base_0023_1, mandelon_base_0023_25","[0.753, 0.768, 0.76]","[35.0, 41.0, 36.0]",3
att_140,"mandelon_base_0023_11, mandelon_base_0023_21","[0.758, 0.818]","[44.0, 31.0]",2
att_141,"mandelon_base_0023_4, mandelon_base_0023_16, mandelon_base_0023_19","[0.665, 0.697, 0.745]","[45.0, 45.0, 41.0]",3
att_142,"mandelon_base_0017_6, mandelon_base_0017_7, mandelon_base_0017_13, mandelon_base_0023_5, mandelon_base_0023_15","[0.778, 0.697, 0.78, 0.785, 0.755]","[32.0, 41.0, 31.0, 29.0, 36.0]",5
att_143,"mandelon_base_0017_0, mandelon_base_0017_5, mandelon_base_0023_4, mandelon_base_0023_11, mandelon_base_0023_22","[0.685, 0.76, 0.665, 0.758, 0.707]","[31.0, 36.0, 45.0, 44.0, 41.0]",5
att_144,mandelon_base_0023_23,[0.772],[31.0],1
att_146,"mandelon_base_0023_6, mandelon_base_0023_16, mandelon_base_0023_26","[0.803, 0.697, 0.723]","[24.0, 45.0, 44.0]",3
att_147,"mandelon_base_0017_7, mandelon_base_0023_20","[0.697, 0.785]","[41.0, 30.0]",2
att_149,"mandelon_base_0017_6, mandelon_base_0023_2","[0.778, 0.723]","[32.0, 41.0]",2
