selected_features_bin,experiment_name,pob_accuracy_avg,pob_ngenes_avg,count
U28281_at,"leukemia_base_0002_1, leukemia_base_0002_2, leukemia_base_0002_17, leukemia_base_0002_18, leukemia_base_0002_19, leukemia_base_0002_22, leukemia_base_0002_24, leukemia_base_0002_28","[0.984, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[681.0, 683.0, 689.0, 730.0, 683.0, 676.0, 683.0, 688.0]",8
U28368_at,leukemia_base_0002_14,[1.0],[700.0],1
U28369_at,"leukemia_base_0002_14, leukemia_base_0009_15","[1.0, 0.984]","[700.0, 82.0]",2
U28386_at,"leukemia_base_0002_2, leukemia_base_0002_13, leukemia_base_0002_16","[1.0, 1.0, 1.0]","[683.0, 696.0, 650.0]",3
U28413_at,"leukemia_base_0002_3, leukemia_base_0002_14, leukemia_base_0002_15","[1.0, 1.0, 1.0]","[660.0, 700.0, 654.0]",3
U28488_s_at,"leukemia_base_0002_4, leukemia_base_0002_6, leukemia_base_0002_26","[1.0, 1.0, 1.0]","[669.0, 671.0, 711.0]",3
U28686_at,"leukemia_base_0002_8, leukemia_base_0002_9, leukemia_base_0002_13, leukemia_base_0002_17, leukemia_base_0002_24","[1.0, 0.999, 1.0, 1.0, 1.0]","[694.0, 636.0, 696.0, 689.0, 683.0]",5
U28687_at,"leukemia_base_0002_2, leukemia_base_0002_24, leukemia_base_0002_29","[1.0, 1.0, 1.0]","[683.0, 683.0, 707.0]",3
U28727_at,"leukemia_base_0002_2, leukemia_base_0002_10, leukemia_base_0002_12, leukemia_base_0002_19, leukemia_base_0011_5","[1.0, 1.0, 1.0, 1.0, 1.0]","[683.0, 657.0, 693.0, 683.0, 34.0]",5
U28749_s_at,"leukemia_base_0002_11, leukemia_base_0002_13","[1.0, 1.0]","[707.0, 696.0]",2
U28811_at,"leukemia_base_0002_4, leukemia_base_0002_22, leukemia_base_0002_27, leukemia_base_0002_28","[1.0, 1.0, 1.0, 1.0]","[669.0, 676.0, 713.0, 688.0]",4
U28831_at,"leukemia_base_0002_2, leukemia_base_0002_8, leukemia_base_0002_9, leukemia_base_0002_23, leukemia_base_0002_27, leukemia_base_0002_29","[1.0, 1.0, 0.999, 1.0, 1.0, 1.0]","[683.0, 694.0, 636.0, 726.0, 713.0, 707.0]",6
U28833_at,"leukemia_base_0002_9, leukemia_base_0002_17, leukemia_base_0002_19, leukemia_base_0002_23, leukemia_base_0002_28","[0.999, 1.0, 1.0, 1.0, 1.0]","[636.0, 689.0, 683.0, 726.0, 688.0]",5
U28963_at,"leukemia_base_0002_4, leukemia_base_0002_12, leukemia_base_0002_23","[1.0, 1.0, 1.0]","[669.0, 693.0, 726.0]",3
U29171_at,"leukemia_base_0002_6, leukemia_base_0002_18, leukemia_base_0002_22, leukemia_base_0002_24, leukemia_base_0002_26","[1.0, 1.0, 1.0, 1.0, 1.0]","[671.0, 730.0, 676.0, 683.0, 711.0]",5
U29175_at,"leukemia_base_0002_19, leukemia_base_0009_27","[1.0, 0.969]","[683.0, 70.0]",2
U29195_at,"leukemia_base_0009_1, leukemia_base_0011_23","[1.0, 0.984]","[62.0, 24.0]",2
U29343_at,"leukemia_base_0002_6, leukemia_base_0011_17","[1.0, 0.984]","[671.0, 31.0]",2
U29463_s_at,"leukemia_base_0002_0, leukemia_base_0002_21","[1.0, 0.969]","[685.0, 679.0]",2
U29607_at,"leukemia_base_0002_4, leukemia_base_0002_9, leukemia_base_0002_19, leukemia_base_0002_21, leukemia_base_0002_24, leukemia_base_0009_14","[1.0, 0.999, 1.0, 0.969, 1.0, 1.0]","[669.0, 636.0, 683.0, 679.0, 683.0, 57.0]",6
U29615_at,"leukemia_base_0002_1, leukemia_base_0002_7, leukemia_base_0002_20, leukemia_base_0002_23","[0.984, 1.0, 1.0, 1.0]","[681.0, 682.0, 647.0, 726.0]",4
